id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
295,26,female,2,own,little,moderate,9960,48,furniture/equipment
684,31,male,1,own,moderate,moderate,9857,36,business
812,24,male,2,own,little,little,9629,36,car
180,28,male,2,own,little,NA,9572,36,business
57,31,female,2,own,little,NA,9566,36,radio/TV
78,39,male,1,own,NA,NA,9436,54,car
291,28,male,3,rent,little,moderate,9398,36,car
808,55,male,3,free,little,moderate,9283,42,car
881,48,male,2,free,NA,NA,9277,24,car
805,24,male,2,own,little,little,9271,36,car
616,27,male,3,free,NA,moderate,9157,60,radio/TV
5,35,male,1,free,NA,NA,9055,36,education
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
268,45,male,3,own,little,little,8978,14,car
895,31,male,3,own,NA,NA,8947,36,car
549,35,male,2,free,NA,NA,8858,48,car
402,27,male,2,own,little,NA,8648,24,business
136,27,male,2,own,rich,NA,8613,27,car
509,45,male,3,own,moderate,NA,8588,39,car
130,24,female,2,own,NA,moderate,8487,48,car
417,23,female,2,rent,NA,little,8471,18,education
980,49,male,2,own,little,moderate,8386,30,furniture/equipment
945,30,female,2,own,quite rich,moderate,8358,48,car
828,47,male,2,free,NA,little,8335,36,car
491,42,female,3,free,little,moderate,8318,27,business
983,26,male,2,own,little,little,8229,36,car
70,30,female,2,own,little,NA,8133,36,car
653,42,male,3,own,moderate,moderate,8086,36,car
17,25,male,2,own,NA,little,8072,30,business
771,25,female,3,own,little,little,8065,36,education
645,27,male,2,rent,NA,NA,7980,36,business
525,30,male,2,own,little,moderate,7966,26,car
3,45,male,2,free,little,little,7882,42,furniture/equipment
227,53,male,3,free,little,little,7865,12,furniture/equipment
113,25,female,2,own,little,NA,7855,36,car
889,40,male,2,rent,NA,NA,7824,28,car
880,38,male,3,own,little,NA,7814,24,car
538,42,male,3,free,little,little,7763,48,car
153,29,female,2,rent,rich,moderate,7758,24,car
108,30,female,2,own,NA,little,7721,24,furniture/equipment
375,37,female,2,rent,little,little,7685,48,business
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment
294,46,male,3,own,NA,NA,7629,48,business
715,63,male,2,own,NA,NA,7596,30,car
287,31,male,3,free,moderate,moderate,7582,48,vacation/others
796,51,male,2,free,NA,little,7511,18,car
175,53,female,3,own,NA,NA,7485,30,car
650,50,male,3,free,little,little,7476,48,education
804,24,female,0,rent,NA,moderate,7472,12,car
815,54,female,2,rent,little,moderate,7432,36,car
255,27,male,1,own,NA,moderate,7418,60,radio/TV
868,37,male,2,own,NA,NA,7409,36,business
332,24,female,3,own,moderate,moderate,7408,60,car
971,43,male,1,own,little,NA,7393,24,car
387,40,male,3,own,little,moderate,7374,18,furniture/equipment
163,70,male,3,free,little,moderate,7308,10,car
973,36,male,2,rent,little,little,7297,60,business
411,35,male,3,own,little,NA,7253,33,car
467,32,male,2,own,NA,NA,7238,48,radio/TV
48,39,male,1,own,little,NA,7228,11,car
116,30,female,3,own,NA,little,7174,42,radio/TV
968,29,male,2,rent,NA,NA,7166,42,radio/TV
517,23,female,2,rent,little,NA,7127,36,furniture/equipment
522,53,male,2,free,little,little,7119,48,furniture/equipment
99,36,male,3,rent,NA,moderate,7057,20,car
552,34,male,2,own,little,little,6999,48,radio/TV
154,36,male,3,rent,moderate,moderate,6967,24,business
7,35,male,3,rent,little,moderate,6948,36,car
131,29,male,2,own,little,little,6887,36,education
924,55,male,2,own,little,little,6872,24,furniture/equipment
507,34,male,3,own,moderate,moderate,6850,15,car
939,46,male,3,own,NA,NA,6842,24,car
29,63,male,2,own,little,little,6836,60,business
738,45,male,3,own,little,NA,6761,6,car
846,68,male,2,rent,NA,NA,6761,18,car
569,31,female,2,own,little,little,6758,48,radio/TV
879,36,male,2,own,NA,NA,6742,30,radio/TV
829,38,male,2,free,NA,moderate,6681,48,business
330,75,male,3,free,little,little,6615,24,car
888,34,male,3,own,little,NA,6614,36,car
988,29,male,3,free,little,little,6579,24,car
208,21,male,1,own,little,little,6568,24,business
706,24,male,2,own,moderate,moderate,6560,48,car
685,34,male,2,free,NA,NA,6527,60,car
56,52,male,3,own,NA,moderate,6468,12,radio/TV
784,60,male,3,own,NA,moderate,6468,20,car
106,39,male,3,own,little,NA,6458,18,car
292,44,female,3,free,little,little,6419,24,car
728,59,female,2,rent,little,moderate,6416,48,business
730,33,male,2,own,little,moderate,6403,24,radio/TV
659,41,male,2,own,little,moderate,6361,18,furniture/equipment
542,31,male,2,own,NA,little,6350,30,furniture/equipment
701,46,male,2,free,little,little,6331,48,car
665,27,male,3,own,little,NA,6314,24,vacation/others
791,41,male,3,own,NA,NA,6313,24,car
266,36,male,2,own,NA,NA,6304,36,business
986,33,male,2,own,little,rich,6289,42,business
938,42,male,2,free,little,moderate,6288,60,education
112,28,male,1,rent,little,moderate,6260,18,car
59,23,female,1,rent,little,little,6229,36,furniture/equipment
788,50,male,2,free,little,moderate,6224,48,education
42,44,male,1,own,little,moderate,6204,18,repairs
353,28,male,2,rent,little,little,6199,12,radio/TV
43,24,male,2,rent,moderate,little,6187,30,car
719,31,male,2,own,moderate,moderate,6148,20,car
44,58,female,1,free,little,little,6143,48,car
36,31,male,2,free,little,NA,6110,48,education
107,32,male,2,own,little,moderate,6078,12,car
371,33,male,2,own,little,NA,6070,18,radio/TV
789,27,male,2,own,little,little,5998,40,education
51,30,male,3,own,little,moderate,5965,27,car
73,41,female,1,own,little,moderate,5954,42,business
571,38,male,2,own,little,NA,5954,30,radio/TV
1,22,female,2,own,little,moderate,5951,48,radio/TV
80,44,female,2,own,NA,NA,5943,24,radio/TV
32,30,male,2,own,moderate,moderate,5866,18,car
152,24,male,2,own,little,rich,5848,36,radio/TV
415,35,male,2,own,little,NA,5842,36,car
860,27,male,2,own,rich,NA,5804,24,car
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment
893,34,male,2,own,little,moderate,5800,36,car
753,25,female,2,own,little,NA,5771,30,radio/TV
340,24,female,2,free,little,moderate,5743,24,education
671,31,male,2,own,moderate,NA,5742,36,business
778,38,male,3,own,rich,NA,5711,36,car
677,24,male,2,own,moderate,moderate,5595,72,radio/TV
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment
520,44,male,2,free,little,NA,5507,24,repairs
501,42,male,2,free,little,little,5493,36,car
572,26,female,3,rent,NA,NA,5433,24,car
310,40,male,0,free,NA,moderate,5381,48,vacation/others
148,28,male,2,own,little,little,5371,36,furniture/equipment
705,35,female,2,free,quite rich,NA,5324,15,car
262,36,male,3,free,little,little,5302,18,car
212,50,male,2,own,little,little,5293,27,business
748,26,male,2,own,NA,NA,5248,21,car
9,28,male,3,own,little,moderate,5234,30,car
65,48,male,2,own,NA,NA,5190,27,repairs
840,29,male,2,own,little,little,5179,36,furniture/equipment
477,25,male,2,own,little,rich,5152,24,radio/TV
676,33,male,2,own,little,NA,5150,24,furniture/equipment
186,74,female,3,free,little,moderate,5129,9,car
202,26,male,2,own,little,NA,5117,27,business
683,47,male,2,free,little,NA,5103,24,radio/TV
444,30,female,3,own,little,moderate,5096,48,furniture/equipment
833,42,female,2,own,NA,moderate,5084,24,radio/TV
760,59,female,2,own,NA,NA,5045,15,car
557,29,female,2,own,NA,NA,5003,21,car
780,25,male,2,own,little,moderate,4933,39,radio/TV
4,53,male,2,free,little,little,4870,24,car
981,33,male,3,rent,little,NA,4844,48,business
668,43,male,2,rent,little,little,4843,12,car
454,31,male,2,own,little,little,4817,24,car
306,24,female,1,rent,NA,NA,4811,30,car
293,56,male,2,free,little,rich,4796,42,car
141,30,female,3,own,little,moderate,4795,36,radio/TV
286,26,male,2,own,little,little,4788,48,car
77,51,male,2,own,little,moderate,4771,11,radio/TV
35,25,male,1,own,little,moderate,4746,45,radio/TV
911,25,female,1,own,little,moderate,4736,24,furniture/equipment
693,44,male,1,own,NA,little,4716,6,car
564,37,male,3,own,NA,moderate,4712,24,business
511,32,male,3,free,little,NA,4686,36,car
469,35,male,1,own,little,NA,4679,24,car
296,20,female,2,rent,NA,NA,4675,12,car
224,30,male,2,own,little,NA,4657,15,car
642,40,male,3,own,moderate,NA,4623,15,education
278,32,female,2,own,little,NA,4611,6,furniture/equipment
242,24,male,2,free,little,little,4605,48,car
459,32,male,2,own,little,NA,4594,18,radio/TV
190,54,male,3,own,rich,NA,4591,24,business
646,32,male,2,own,little,little,4583,30,furniture/equipment
999,27,male,2,own,moderate,moderate,4576,45,car
675,26,female,3,rent,little,NA,4530,30,radio/TV
606,74,male,3,own,little,NA,4526,24,business
863,32,male,1,own,rich,NA,4526,27,furniture/equipment
328,31,male,2,own,little,rich,4473,36,radio/TV
357,26,male,3,own,little,NA,4463,36,radio/TV
181,30,male,3,own,little,moderate,4455,36,business
910,34,female,2,own,little,NA,4454,36,radio/TV
343,33,male,3,own,little,moderate,4439,18,business
737,35,male,1,own,moderate,little,4380,18,car
639,26,male,2,own,little,little,4370,42,radio/TV
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment
11,24,female,2,rent,little,little,4308,48,business
199,40,male,3,own,little,moderate,4297,18,furniture/equipment
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment
739,26,female,1,rent,moderate,moderate,4280,30,business
384,26,male,1,own,moderate,NA,4272,30,business
802,24,female,2,own,little,little,4272,20,furniture/equipment
320,28,male,3,own,little,moderate,4249,30,car
597,36,male,1,own,little,moderate,4241,24,business
658,28,female,2,own,little,moderate,4221,30,business
230,26,male,2,own,little,rich,4210,36,radio/TV
338,28,male,2,own,little,little,4169,24,furniture/equipment
827,36,male,2,own,little,NA,4165,18,business
899,42,male,2,own,little,little,4153,18,furniture/equipment
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment
670,27,male,1,own,moderate,NA,4139,24,business
952,28,female,2,rent,quite rich,moderate,4113,24,car
334,23,male,2,rent,little,little,4110,24,furniture/equipment
884,43,male,2,own,little,moderate,4057,24,furniture/equipment
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment
851,43,male,2,own,NA,NA,4042,24,car
31,27,male,2,own,little,little,4020,24,furniture/equipment
958,45,male,1,own,little,little,4006,28,car
735,29,female,0,own,NA,moderate,3990,36,domestic appliances
568,41,male,2,own,NA,moderate,3979,48,radio/TV
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment
655,22,male,2,free,little,little,3973,14,car
168,25,female,2,rent,little,NA,3972,24,furniture/equipment
826,33,female,2,rent,little,little,3966,18,car
76,34,male,2,own,little,little,3965,42,radio/TV
858,29,female,2,own,little,little,3959,15,car
993,30,male,3,own,little,little,3959,36,furniture/equipment
344,37,male,1,own,little,rich,3949,10,car
969,40,male,1,own,little,little,3939,11,car
814,46,male,2,free,little,little,3931,48,car
192,36,male,2,own,little,moderate,3915,27,business
622,38,male,2,own,NA,NA,3914,48,business
217,23,male,2,own,little,rich,3913,36,radio/TV
456,36,male,2,rent,little,little,3905,11,car
284,37,male,2,own,moderate,moderate,3878,24,car
779,67,female,2,own,little,moderate,3872,18,repairs
121,41,female,3,rent,little,NA,3868,24,car
